"REF_DATE","GEO","DGUID","Age group","Type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Canada","2021A000011124","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915444","1.1.1","33","A","","","0"
"1995/1996","Canada","2021A000011124","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915445","1.1.2","31","A","","","0"
"1995/1996","Canada","2021A000011124","15 to 19 years","College","Percent","239","units","0","v99915446","1.1.3","42","A","","","0"
"1995/1996","Canada","2021A000011124","15 to 19 years","University","Percent","239","units","0","v99915447","1.1.4","36","A","","","0"
"1995/1996","Canada","2021A000011124","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915448","1.2.1","45","A","","","0"
"1995/1996","Canada","2021A000011124","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915449","1.2.2","34","B","","","0"
"1995/1996","Canada","2021A000011124","20 to 24 years","College","Percent","239","units","0","v99915450","1.2.3","49","A","","","0"
"1995/1996","Canada","2021A000011124","20 to 24 years","University","Percent","239","units","0","v99915451","1.2.4","44","A","","","0"
"1995/1996","Canada","2021A000011124","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915452","1.3.1","52","A","","","0"
"1995/1996","Canada","2021A000011124","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915453","1.3.2","34","C","","","0"
"1995/1996","Canada","2021A000011124","25 to 29 years","College","Percent","239","units","0","v99915454","1.3.3","49","A","","","0"
"1995/1996","Canada","2021A000011124","25 to 29 years","University","Percent","239","units","0","v99915455","1.3.4","60","A","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915456","2.1.1","14","B","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915457","2.1.2","13","B","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","15 to 19 years","College","Percent","239","units","0","v99915458","2.1.3","","x","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","15 to 19 years","University","Percent","239","units","0","v99915459","2.1.4","25","C","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915460","2.2.1","22","C","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915461","2.2.2","","..","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","20 to 24 years","College","Percent","239","units","0","v99915462","2.2.3","10","D","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","20 to 24 years","University","Percent","239","units","0","v99915463","2.2.4","31","C","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915464","2.3.1","29","C","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915465","2.3.2","","..","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","25 to 29 years","College","Percent","239","units","0","v99915466","2.3.3","","x","","","0"
"1995/1996","Newfoundland and Labrador","2021A000210","25 to 29 years","University","Percent","239","units","0","v99915467","2.3.4","46","C","","","0"
"1995/1996","Prince Edward Island","2021A000211","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915468","3.1.1","36","B","","","0"
"1995/1996","Prince Edward Island","2021A000211","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915469","3.1.2","36","B","","","0"
"1995/1996","Prince Edward Island","2021A000211","15 to 19 years","College","Percent","239","units","0","v99915470","3.1.3","","x","","","0"
"1995/1996","Prince Edward Island","2021A000211","15 to 19 years","University","Percent","239","units","0","v99915471","3.1.4","36","B","","","0"
"1995/1996","Prince Edward Island","2021A000211","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915472","3.2.1","32","B","","","0"
"1995/1996","Prince Edward Island","2021A000211","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915473","3.2.2","","x","","","0"
"1995/1996","Prince Edward Island","2021A000211","20 to 24 years","College","Percent","239","units","0","v99915474","3.2.3","36","C","","","0"
"1995/1996","Prince Edward Island","2021A000211","20 to 24 years","University","Percent","239","units","0","v99915475","3.2.4","33","C","","","0"
"1995/1996","Prince Edward Island","2021A000211","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915476","3.3.1","48","B","","","0"
"1995/1996","Prince Edward Island","2021A000211","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915477","3.3.2","","x","","","0"
"1995/1996","Prince Edward Island","2021A000211","25 to 29 years","College","Percent","239","units","0","v99915478","3.3.3","","x","","","0"
"1995/1996","Prince Edward Island","2021A000211","25 to 29 years","University","Percent","239","units","0","v99915479","3.3.4","80","B","","","0"
